City,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2013-14)
Arvada,0,0,0,501,29.8,16.8,0.481,0.014,0.004,0.016,0.301,0.002,0.036,0.627,52.40863
Monte Vista,0,0,0,83,4.8,17,0.301,0,0.012,0,0.289,0,0.012,0.687,52.36888
Golden,0,0,0,168,15.5,10.8,0.262,0.006,0,0.018,0.131,0.012,0.06,0.774,52.31
Sanford,0,0,0,173,12,14.4,0.48,0,0,0,0.329,0,0.012,0.659,52.21788
Grand Junction,0,1,0,755,48.3,15.6,0.248,0.004,0.003,0.016,0.131,0,0.023,0.824,52.03609
Boulder,0,0,0,608,37,16.4,0.405,0.01,0.002,0.035,0.388,0,0.049,0.516,51.96655
Pueblo,0,1,0,445,30.8,14.4,0.6,0.009,0.007,0,0.661,0,0.011,0.312,51.95236
Gunnison,0,0,0,297,17.5,16.9,0.316,0.003,0.007,0,0.209,0,0.017,0.764,51.75318
Grand Junction,0,0,0,400,26.5,15,0.313,0.005,0.01,0.013,0.173,0.003,0.048,0.75,51.49118
Trinidad,0,0,0,59,3.3,17.4,0.39,0.017,0,0,0.424,0,0,0.559,51.43825
Sterling,0,0,0,416,30.2,13.7,0.57,0.005,0.017,0.007,0.274,0,0.029,0.668,51.07836
Aurora,0,0,0,1124,60.7,18.4,0.38,0.169,0.004,0.062,0.214,0.003,0.058,0.49,50.59627
Merino,0,0,0,153,12.8,11.9,0.268,0.026,0,0.013,0.078,0,0.02,0.863,50.56213
Hotchkiss,1,0,0,384,20.7,18.4,0.51,0.008,0.008,0.005,0.146,0,0.023,0.81,50.53073
Hayden,0,0,0,87,7.5,11.6,0.414,0,0,0.011,0.138,0.011,0,0.839,50.25555
Fowler,0,0,0,77,4.8,15.8,0.429,0,0.013,0,0.208,0,0,0.779,50.139
La Jara,1,0,0,240,16.1,14.8,0.671,0.013,0.008,0,0.596,0.004,0.004,0.375,49.77
Greeley,0,1,0,187,14.1,13.2,0.369,0.021,0.005,0.005,0.358,0.005,0.016,0.588,49.70514
